,Year,Percentage,Country,Activities
341,2019,69.2,RUSSIA,shopping
342,2019,64.9,AUSTRALIA,shopping
343,2019,64.1,NEW.ZEALAND,shopping
344,2019,83.6,SOUTH.AFRICA,shopping
345,2019,79.6,CENTRAL.ASIA,shopping
353,2016,1.8,SINGAPORE,Visiting museum
354,2016,0.6,THAILAND,Visiting museum
355,2016,0.2,INDONESIA,Visiting museum
356,2016,2.6,BRUNEI,Visiting museum
357,2016,0,PHILIPPINES,Visiting museum
358,2016,0.4,VIETNAM,Visiting museum
359,2016,7.2,CHINA,Visiting museum
360,2016,12.1,JAPAN,Visiting museum
361,2016,1.9,SOUTH.KOREA,Visiting museum
362,2016,14.7,TAIWAN,Visiting museum
363,2016,0.3,INDIA,Visiting museum
364,2016,0.5,PAKISTAN,Visiting museum
365,2016,0.7,SAUDI.ARABIA,Visiting museum
366,2016,4.9,UNITED.ARAB.EMIRATES,Visiting museum
367,2016,0,OMAN,Visiting museum
368,2016,0,KUWAIT,Visiting museum
369,2016,1.5,IRAN,Visiting museum
370,2016,0.9,CANADA,Visiting museum
371,2016,1.9,USA,Visiting museum
372,2016,0.9,UNITED.KINGDOM,Visiting museum
373,2016,0,IRELAND,Visiting museum
374,2016,0.4,SWEDEN,Visiting museum
375,2016,0.7,DENMARK,Visiting museum
376,2016,0,FINLAND,Visiting museum
377,2016,0,NORWAY,Visiting museum
378,2016,1.2,ITALY,Visiting museum
379,2016,0,SPAIN,Visiting museum
380,2016,0.6,FRANCE,Visiting museum
381,2016,1,BELGIUM,Visiting museum
382,2016,1.5,NETHERLANDS,Visiting museum
383,2016,1.1,GERMANY,Visiting museum
384,2016,0,SWITZERLAND,Visiting museum
385,2016,0,RUSSIA,Visiting museum
386,2016,0.1,AUSTRALIA,Visiting museum
387,2016,0,NEW.ZEALAND,Visiting museum
388,2016,4.2,SOUTH.AFRICA,Visiting museum
389,2016,0,CENTRAL.ASIA,Visiting museum
397,2017,11.5,SINGAPORE,Visiting museum
398,2017,3.2,THAILAND,Visiting museum
399,2017,0.3,INDONESIA,Visiting museum
400,2017,18.6,BRUNEI,Visiting museum
401,2017,5.9,PHILIPPINES,Visiting museum
402,2017,0.1,VIETNAM,Visiting museum
403,2017,25.8,CHINA,Visiting museum
404,2017,22.6,JAPAN,Visiting museum
405,2017,16.6,SOUTH.KOREA,Visiting museum
406,2017,33.3,TAIWAN,Visiting museum
407,2017,0.3,INDIA,Visiting museum
408,2017,0,PAKISTAN,Visiting museum
409,2017,0,SAUDI.ARABIA,Visiting museum
410,2017,4.3,UNITED.ARAB.EMIRATES,Visiting museum
411,2017,0,OMAN,Visiting museum
412,2017,0,KUWAIT,Visiting museum
413,2017,1.2,IRAN,Visiting museum
414,2017,2,CANADA,Visiting museum
415,2017,0.9,USA,Visiting museum
416,2017,1,UNITED.KINGDOM,Visiting museum
417,2017,0,IRELAND,Visiting museum
418,2017,1.8,SWEDEN,Visiting museum
419,2017,0,DENMARK,Visiting museum
420,2017,0,FINLAND,Visiting museum
421,2017,0,NORWAY,Visiting museum
422,2017,2,ITALY,Visiting museum
423,2017,0.5,SPAIN,Visiting museum
424,2017,0.2,FRANCE,Visiting museum
425,2017,0,BELGIUM,Visiting museum
426,2017,0.7,NETHERLANDS,Visiting museum
427,2017,0.9,GERMANY,Visiting museum
428,2017,2.2,SWITZERLAND,Visiting museum
429,2017,0,RUSSIA,Visiting museum
430,2017,1.3,AUSTRALIA,Visiting museum
431,2017,1.2,NEW.ZEALAND,Visiting museum
432,2017,3.1,SOUTH.AFRICA,Visiting museum
433,2017,0,CENTRAL.ASIA,Visiting museum
441,2018,26.3,SINGAPORE,Visiting museum
442,2018,53.4,THAILAND,Visiting museum
443,2018,22.4,INDONESIA,Visiting museum
444,2018,8.2,BRUNEI,Visiting museum
445,2018,31.1,PHILIPPINES,Visiting museum
446,2018,56.8,VIETNAM,Visiting museum
447,2018,55.2,CHINA,Visiting museum
448,2018,27.4,JAPAN,Visiting museum
449,2018,25.5,SOUTH.KOREA,Visiting museum
450,2018,20,TAIWAN,Visiting museum
451,2018,42.7,INDIA,Visiting museum
452,2018,38.4,PAKISTAN,Visiting museum
453,2018,32.1,SAUDI.ARABIA,Visiting museum
454,2018,17.5,UNITED.ARAB.EMIRATES,Visiting museum
455,2018,30.8,OMAN,Visiting museum
456,2018,16.1,KUWAIT,Visiting museum
457,2018,36.1,IRAN,Visiting museum
458,2018,37.8,CANADA,Visiting museum
459,2018,46.7,USA,Visiting museum
460,2018,48.1,UNITED.KINGDOM,Visiting museum
461,2018,25.1,IRELAND,Visiting museum
462,2018,22.7,SWEDEN,Visiting museum
463,2018,59.2,DENMARK,Visiting museum
464,2018,53.3,FINLAND,Visiting museum
465,2018,23.3,NORWAY,Visiting museum
466,2018,28.2,ITALY,Visiting museum
467,2018,65.4,SPAIN,Visiting museum
468,2018,56.6,FRANCE,Visiting museum
469,2018,25.7,BELGIUM,Visiting museum
470,2018,39.9,NETHERLANDS,Visiting museum
471,2018,56,GERMANY,Visiting museum
472,2018,26,SWITZERLAND,Visiting museum
473,2018,39.3,RUSSIA,Visiting museum
474,2018,56.8,AUSTRALIA,Visiting museum
475,2018,24.1,NEW.ZEALAND,Visiting museum
476,2018,22.7,SOUTH.AFRICA,Visiting museum
477,2018,28.2,CENTRAL.ASIA,Visiting museum
485,2019,9.1,SINGAPORE,Visiting museum
486,2019,27.9,THAILAND,Visiting museum
487,2019,16.4,INDONESIA,Visiting museum
488,2019,10.5,BRUNEI,Visiting museum
489,2019,22.1,PHILIPPINES,Visiting museum
490,2019,53.7,VIETNAM,Visiting museum
491,2019,33,CHINA,Visiting museum
492,2019,31.9,JAPAN,Visiting museum
493,2019,24.3,SOUTH.KOREA,Visiting museum
494,2019,27.4,TAIWAN,Visiting museum
495,2019,31.8,INDIA,Visiting museum
496,2019,22.8,PAKISTAN,Visiting museum
497,2019,39.4,SAUDI.ARABIA,Visiting museum
498,2019,41.5,UNITED.ARAB.EMIRATES,Visiting museum
499,2019,35.9,OMAN,Visiting museum
500,2019,27.3,KUWAIT,Visiting museum
501,2019,28.4,IRAN,Visiting museum
502,2019,46.8,CANADA,Visiting museum
503,2019,35.4,USA,Visiting museum
504,2019,40.4,UNITED.KINGDOM,Visiting museum
505,2019,24.7,IRELAND,Visiting museum
506,2019,52.7,SWEDEN,Visiting museum
507,2019,31.6,DENMARK,Visiting museum
508,2019,29.5,FINLAND,Visiting museum
509,2019,40,NORWAY,Visiting museum
510,2019,32.1,ITALY,Visiting museum
511,2019,37.1,SPAIN,Visiting museum
512,2019,35,FRANCE,Visiting museum
513,2019,45.6,BELGIUM,Visiting museum
514,2019,42.7,NETHERLANDS,Visiting museum
515,2019,47,GERMANY,Visiting museum
516,2019,52.4,SWITZERLAND,Visiting museum
517,2019,24.1,RUSSIA,Visiting museum
518,2019,36.9,AUSTRALIA,Visiting museum
519,2019,43,NEW.ZEALAND,Visiting museum
520,2019,42.5,SOUTH.AFRICA,Visiting museum
521,2019,27.1,CENTRAL.ASIA,Visiting museum
529,2016,1.8,SINGAPORE,Golfing
530,2016,0.6,THAILAND,Golfing
531,2016,0.2,INDONESIA,Golfing
532,2016,2.6,BRUNEI,Golfing
533,2016,0,PHILIPPINES,Golfing
534,2016,0.4,VIETNAM,Golfing
535,2016,7.2,CHINA,Golfing
536,2016,12.1,JAPAN,Golfing
537,2016,1.9,SOUTH.KOREA,Golfing
538,2016,14.7,TAIWAN,Golfing
539,2016,0.3,INDIA,Golfing
540,2016,0.5,PAKISTAN,Golfing
541,2016,0.7,SAUDI.ARABIA,Golfing
542,2016,4.9,UNITED.ARAB.EMIRATES,Golfing
543,2016,0,OMAN,Golfing
544,2016,0,KUWAIT,Golfing
545,2016,1.5,IRAN,Golfing
546,2016,0.9,CANADA,Golfing
547,2016,1.9,USA,Golfing
548,2016,0.9,UNITED.KINGDOM,Golfing
549,2016,0,IRELAND,Golfing
550,2016,0.4,SWEDEN,Golfing
551,2016,0.7,DENMARK,Golfing
552,2016,0,FINLAND,Golfing
553,2016,0,NORWAY,Golfing
554,2016,1.2,ITALY,Golfing
555,2016,0,SPAIN,Golfing
556,2016,0.6,FRANCE,Golfing
557,2016,1,BELGIUM,Golfing
558,2016,1.5,NETHERLANDS,Golfing
559,2016,1.1,GERMANY,Golfing
560,2016,0,SWITZERLAND,Golfing
561,2016,0,RUSSIA,Golfing
562,2016,0.1,AUSTRALIA,Golfing
563,2016,0,NEW.ZEALAND,Golfing
564,2016,4.2,SOUTH.AFRICA,Golfing
565,2016,0,CENTRAL.ASIA,Golfing
573,2017,11.5,SINGAPORE,Golfing
574,2017,3.2,THAILAND,Golfing
575,2017,0.3,INDONESIA,Golfing
576,2017,18.6,BRUNEI,Golfing
577,2017,5.9,PHILIPPINES,Golfing
578,2017,0.1,VIETNAM,Golfing
579,2017,25.8,CHINA,Golfing
580,2017,22.6,JAPAN,Golfing
581,2017,16.6,SOUTH.KOREA,Golfing
582,2017,33.3,TAIWAN,Golfing
583,2017,0.3,INDIA,Golfing
584,2017,0,PAKISTAN,Golfing
585,2017,0,SAUDI.ARABIA,Golfing
586,2017,4.3,UNITED.ARAB.EMIRATES,Golfing
587,2017,0,OMAN,Golfing
588,2017,0,KUWAIT,Golfing
589,2017,1.2,IRAN,Golfing
590,2017,2,CANADA,Golfing
591,2017,0.9,USA,Golfing
592,2017,1,UNITED.KINGDOM,Golfing
593,2017,0,IRELAND,Golfing
594,2017,1.8,SWEDEN,Golfing
595,2017,0,DENMARK,Golfing
596,2017,0,FINLAND,Golfing
597,2017,0,NORWAY,Golfing
598,2017,2,ITALY,Golfing
599,2017,0.5,SPAIN,Golfing
600,2017,0.2,FRANCE,Golfing
601,2017,0,BELGIUM,Golfing
602,2017,0.7,NETHERLANDS,Golfing
603,2017,0.9,GERMANY,Golfing
604,2017,2.2,SWITZERLAND,Golfing
605,2017,0,RUSSIA,Golfing
606,2017,1.3,AUSTRALIA,Golfing
607,2017,1.2,NEW.ZEALAND,Golfing
608,2017,3.1,SOUTH.AFRICA,Golfing
609,2017,0,CENTRAL.ASIA,Golfing
617,2018,3.8,SINGAPORE,Golfing
618,2018,1.3,THAILAND,Golfing
619,2018,3.2,INDONESIA,Golfing
620,2018,2.3,BRUNEI,Golfing
621,2018,1,PHILIPPINES,Golfing
622,2018,4.5,VIETNAM,Golfing
623,2018,13,CHINA,Golfing
624,2018,9.9,JAPAN,Golfing
625,2018,5.9,SOUTH.KOREA,Golfing
626,2018,2.8,TAIWAN,Golfing
627,2018,14.3,INDIA,Golfing
628,2018,0.7,PAKISTAN,Golfing
629,2018,1.1,SAUDI.ARABIA,Golfing
630,2018,1.2,UNITED.ARAB.EMIRATES,Golfing
631,2018,0.7,OMAN,Golfing
632,2018,0,KUWAIT,Golfing
633,2018,2.4,IRAN,Golfing
634,2018,6,CANADA,Golfing
635,2018,3.7,USA,Golfing
636,2018,4,UNITED.KINGDOM,Golfing
637,2018,33.9,IRELAND,Golfing
638,2018,1.4,SWEDEN,Golfing
639,2018,1,DENMARK,Golfing
640,2018,4.1,FINLAND,Golfing
641,2018,0.8,NORWAY,Golfing
642,2018,12.5,ITALY,Golfing
643,2018,0.9,SPAIN,Golfing
644,2018,1.6,FRANCE,Golfing
645,2018,1,BELGIUM,Golfing
646,2018,2.7,NETHERLANDS,Golfing
647,2018,1.8,GERMANY,Golfing
648,2018,5.1,SWITZERLAND,Golfing
649,2018,0.2,RUSSIA,Golfing
650,2018,8,AUSTRALIA,Golfing
651,2018,3.9,NEW.ZEALAND,Golfing
652,2018,0.6,SOUTH.AFRICA,Golfing
653,2018,0.4,CENTRAL.ASIA,Golfing
661,2019,0.2,SINGAPORE,Golfing
662,2019,0,THAILAND,Golfing
663,2019,0.3,INDONESIA,Golfing
664,2019,0.4,BRUNEI,Golfing
665,2019,0.7,PHILIPPINES,Golfing
666,2019,0.4,VIETNAM,Golfing
667,2019,0.1,CHINA,Golfing
668,2019,0,JAPAN,Golfing
669,2019,1.1,SOUTH.KOREA,Golfing
670,2019,0,TAIWAN,Golfing
671,2019,0.2,INDIA,Golfing
672,2019,0,PAKISTAN,Golfing
673,2019,0.2,SAUDI.ARABIA,Golfing
674,2019,0,UNITED.ARAB.EMIRATES,Golfing
675,2019,0.7,OMAN,Golfing
676,2019,0.7,KUWAIT,Golfing
677,2019,0,IRAN,Golfing
678,2019,1,CANADA,Golfing
679,2019,0.1,USA,Golfing
680,2019,0.4,UNITED.KINGDOM,Golfing
681,2019,0,IRELAND,Golfing
682,2019,0,SWEDEN,Golfing
683,2019,0,DENMARK,Golfing
684,2019,0,FINLAND,Golfing
685,2019,0,NORWAY,Golfing
686,2019,0,ITALY,Golfing
687,2019,0,SPAIN,Golfing
688,2019,0.1,FRANCE,Golfing
689,2019,0,BELGIUM,Golfing
690,2019,0,NETHERLANDS,Golfing
691,2019,0,GERMANY,Golfing
692,2019,0,SWITZERLAND,Golfing
693,2019,0,RUSSIA,Golfing
694,2019,1.1,AUSTRALIA,Golfing
695,2019,2.1,NEW.ZEALAND,Golfing
696,2019,0,SOUTH.AFRICA,Golfing
697,2019,0,CENTRAL.ASIA,Golfing
705,2016,2.5,SINGAPORE,River cruise
706,2016,1.2,THAILAND,River cruise
707,2016,0.4,INDONESIA,River cruise
708,2016,0.1,BRUNEI,River cruise
709,2016,5,PHILIPPINES,River cruise
710,2016,0.9,VIETNAM,River cruise
711,2016,13.5,CHINA,River cruise
712,2016,3.1,JAPAN,River cruise
713,2016,1.9,SOUTH.KOREA,River cruise
714,2016,29.3,TAIWAN,River cruise
715,2016,1.7,INDIA,River cruise
716,2016,0.3,PAKISTAN,River cruise
717,2016,1.8,SAUDI.ARABIA,River cruise
718,2016,2.4,UNITED.ARAB.EMIRATES,River cruise
719,2016,14.1,OMAN,River cruise
720,2016,0,KUWAIT,River cruise
721,2016,0.7,IRAN,River cruise
722,2016,9,CANADA,River cruise
723,2016,3.2,USA,River cruise
724,2016,4.4,UNITED.KINGDOM,River cruise
725,2016,0,IRELAND,River cruise
726,2016,10,SWEDEN,River cruise
727,2016,1.4,DENMARK,River cruise
728,2016,1.3,FINLAND,River cruise
729,2016,1.8,NORWAY,River cruise
730,2016,4.7,ITALY,River cruise
731,2016,3.5,SPAIN,River cruise
732,2016,6.9,FRANCE,River cruise
733,2016,2.1,BELGIUM,River cruise
734,2016,1.9,NETHERLANDS,River cruise
